Date,AAPL,INFY.NS,MSFT,RELIANCE.NS,TCS.NS
2023-06-09,178.4581756591797,1176.6427001953125,319.9278259277344,1133.001953125,2951.496826171875
2023-06-12,181.2490234375,1200.80859375,324.88165283203125,1134.006103515625,2986.076171875
2023-06-13,180.77565002441406,1212.798583984375,327.2703857421875,1150.759521484375,2983.13330078125
2023-06-14,181.40679931640625,1208.6624755859375,330.2563171386719,1164.910888671875,2989.89306640625
2023-06-15,183.43832397460938,1196.02197265625,340.7904052734375,1165.23046875,2979.932861328125
2023-06-16,182.3634033203125,1200.52978515625,335.14154052734375,1176.574462890625,2941.575439453125
2023-06-19,,1202.714111328125,,1164.8880615234375,2974.466796875
2023-06-20,182.45213317871094,1211.450927734375,330.951416015625,1167.3074951171875,2990.4951171875
2023-06-21,181.41665649414062,1207.6865234375,326.55572509765625,1170.59423828125,3018.75341796875
2023-06-22,184.41465759277344,1191.1422119140625,332.5765075683594,1157.4471435546875,3000.501220703125
2023-06-23,184.0990753173828,1175.7598876953125,327.9850158691406,1147.974853515625,2979.9794921875
2023-06-26,182.70858764648438,1180.7322998046875,321.6998596191406,1139.210205078125,2955.241455078125
2023-06-27,185.45999145507812,1188.91162109375,327.54449462890625,1139.62109375,2962.3759765625
2023-06-28,186.63356018066406,1202.1097412109375,328.7976379394531,1154.708251953125,2979.14501953125
2023-06-29,186.96885681152344,,328.01434326171875,,
2023-06-30,191.2882843017578,1241.286376953125,333.3891296386719,1164.1805419921875,3059.56640625
2023-07-03,189.7991943359375,1239.6131591796875,330.8927001953125,1194.0582275390625,3031.817626953125
2023-07-04,,1250.2554931640625,,1181.755615234375,3065.681640625
2023-07-05,188.68479919433594,1252.2540283203125,331.0492858886719,1179.8155517578125,3075.9658203125
2023-07-06,189.1581268310547,1249.0936279296875,334.1037902832031,1204.5804443359375,3078.698486328125
2023-07-07,188.04376220703125,1236.360107421875,330.13885498046875,1202.2296142578125,3084.58203125
2023-07-10,186.00241088867188,1235.38427734375,324.8620300292969,1248.5411376953125,3031.4931640625
2023-07-11,185.47975158691406,1253.462158203125,325.48858642578125,1262.076171875,3031.90966796875
2023-07-12,187.1463623046875,1239.24169921875,330.1192932128906,1263.4683837890625,3020.328369140625
2023-07-13,187.9056854248047,1268.7982177734375,335.464599609375,1252.170166015625,3095.052001953125
2023-07-14,188.05360412597656,1325.3553466796875,337.9903869628906,1251.1202392578125,3256.35693359375
2023-07-17,191.30801391601562,1322.5672607421875,338.4701843261719,1276.6842041015625,3235.093505859375
2023-07-18,191.05160522460938,1371.1309814453125,351.9411315917969,1287.52587890625,3239.865234375
2023-07-19,192.40264892578125,1370.898681640625,347.623779296875,1297.294921875,3215.034423828125
2023-07-20,190.45989990234375,1347.244140625,339.5862121582031,1295.723876953125,3217.125
2023-07-21,189.28634643554688,1237.661376953125,336.55133056640625,1255.6134033203125,3128.877685546875
2023-07-24,190.0851593017578,1242.3087158203125,337.8631591796875,1230.216796875,3153.447265625
2023-07-25,190.943115234375,1240.4498291015625,343.6099548339844,1229.425537109375,3157.534423828125
2023-07-26,191.8109588623047,1253.6944580078125,330.6772766113281,1249.4063720703125,3147.455810546875
2023-07-27,190.5486602783203,1257.6912841796875,323.7753601074219,1237.7838134765625,3155.4443359375
2023-07-28,193.12257385253906,1245.93359375,331.2646789550781,1250.2225341796875,3116.89453125
2023-07-31,193.73402404785156,1260.0614013671875,328.8662109375,1260.8065185546875,3178.249755859375
2023-08-01,192.90560913085938,1268.89111328125,329.27728271484375,1242.9769287109375,3206.67431640625
2023-08-02,189.91748046875,1261.1302490234375,320.6229248046875,1229.697509765625,3196.084716796875
2023-08-03,188.52699279785156,1268.0545654296875,319.80059814453125,1224.5291748046875,3158.278076171875
2023-08-04,179.47390747070312,1281.113525390625,320.8970642089844,1241.171630859375,3198.778564453125
2023-08-07,176.37734985351562,1294.72998046875,323.1781005859375,1248.244140625,3236.399658203125
2023-08-08,177.31419372558594,1292.1275634765625,319.203369140625,1240.7264404296875,3223.90576171875
2023-08-09,175.72645568847656,1296.03125,315.463623046875,1248.911865234375,3216.3818359375
2023-08-10,175.50949096679688,1291.105224609375,316.14892578125,1254.4759521484375,3197.43212890625
2023-08-11,175.56874084472656,1275.072021484375,314.26922607421875,1259.767822265625,3203.655517578125
2023-08-14,177.21786499023438,1295.2412109375,317.2356262207031,1274.6546630859375,3204.630615234375
2023-08-15,175.23300170898438,,315.1013488769531,,
2023-08-16,174.36398315429688,1318.43115234375,314.3361511230469,1273.6160888671875,3212.572998046875
2023-08-17,171.82608032226562,1311.971435546875,310.88275146484375,1255.2425537109375,3191.533447265625
2023-08-18,172.30995178222656,1290.8262939453125,310.4903869628906,1264.54052734375,3127.762939453125
2023-08-21,173.64312744140625,1306.2552490234375,315.7881774902344,1250.74267578125,3159.85693359375
2023-08-22,175.01571655273438,1304.7215576171875,316.357177734375,1250.44482421875,3141.74267578125
2023-08-23,178.85714721679688,1308.6251220703125,320.8112487792969,1251.8345947265625,3156.698486328125
2023-08-24,174.17636108398438,1323.1712646484375,313.914306640625,1230.7904052734375,3146.945068359375
2023-08-25,176.3784942626953,1319.918212890625,316.8673400878906,1225.1075439453125,3140.953125
2023-08-28,177.93878173828125,1315.7821044921875,317.5736999511719,1212.8978271484375,3135.612060546875
2023-08-29,181.81964111328125,1317.64111328125,322.1946105957031,1201.2838134765625,3136.169677734375
2023-08-30,185.30555725097656,1333.9066162109375,322.5673828125,1200.1422119140625,3149.917724609375
2023-08-31,185.52279663085938,1334.185302734375,321.5568542480469,1194.65771484375,3118.195068359375
2023-09-01,187.0929718017578,1341.9927978515625,322.43988037109375,1197.4619140625,3139.002685546875
2023-09-04,,1361.74365234375,,1196.494140625,3175.509521484375
2023-09-05,187.32994079589844,1374.570068359375,327.23724365234375,1202.8968505859375,3185.587890625
2023-09-06,180.62478637695312,1373.2222900390625,326.5799865722656,1205.4281005859375,3186.09912109375
2023-09-07,175.3416290283203,1362.7659912109375,323.6661682128906,1207.06591796875,3209.64697265625
2023-09-08,175.95388793945312,1365.9261474609375,327.94366455078125,1215.1064453125,3197.245849609375
2023-09-11,177.11912536621094,1372.2928466796875,331.5442199707031,1228.20947265625,3233.241943359375
2023-09-12,174.09735107421875,1395.2039794921875,325.4909362792969,1210.4659423828125,3326.272705078125
2023-09-13,172.03347778320312,1392.6480712890625,329.69976806640625,1216.52099609375,3314.243408203125
2023-09-14,173.5443878173828,1400.6412353515625,332.28985595703125,1217.6376953125,3306.997802734375
2023-09-15,172.823486328125,1404.9632568359375,323.9703063964844,1219.8961181640625,3342.529296875
2023-09-18,175.7465057373047,1386.56005859375,322.8322448730469,1209.274658203125,3349.8212890625
2023-09-19,176.83279418945312,,322.4299621582031,,
2023-09-20,173.29750061035156,1385.119384765625,314.6991271972656,1182.323974609375,3349.72802734375
2023-09-21,171.7569580078125,1395.808349609375,313.4826354980469,1173.712890625,3330.453125
